codigo_municipio,municipio,cluster_final,total_delitos_tasa,HURTOS_tasa,LESIONES_tasa,VIOLENCIA INTRAFAMILIAR_tasa,HOMICIDIOS_tasa,AMENAZAS_tasa,log_densidad,log_area,centros_por_km2,proporcion_menores,proporcion_adultos,proporcion_adolescentes
68001,BUCARAMANGA,2,22052.572377147128,8784.0122617087,7147.7063435940445,3504.6872477518523,328.4630241797542,1363.2477436044464,8.832710588965725,5.036404959458623,0.006539551472280438,0.14785193506290695,0.7945265694059125,0.057621495531180546
68013,AGUADA,0,4637.504754659567,292.12628375808293,1643.2103461392164,839.8630658044885,36.51578546976037,949.4104222137695,3.9842327896639698,4.3337714562781,0.01329234895996822,0.1608288166715957,0.7781880675453693,0.060983115783034995
68020,ALBANIA,0,3924.959509928797,586.6487523736993,852.0374736856108,907.908783435487,195.5495841245664,796.1661639357346,4.06784589381181,5.119292166985972,0.024064932091408302,0.17486500376352326,0.7670738851477035,0.058061111088773244
68051,ARATOCA,0,8698.591467492546,892.7709680532766,5143.308851351178,1121.889181093498,347.627633578267,624.1496148337068,4.5996562919376025,5.140443817566753,0.0176687236102286,0.17720830416141767,0.7581433971093983,0.06464829872918394
68077,BARBOSA,2,20391.460310031427,4410.298236471043,9154.845932369444,3313.331889759782,354.43902409075525,2133.3639994323307,7.068283112479882,3.8641950049052816,0.04285877732146466,0.17677628159304884,0.7609116588439465,0.06231205956300458
68079,BARICHARA,0,5846.459979032979,1024.3123952483656,2040.7454643794363,1394.6407227612365,102.43123952483656,638.2254155009048,4.695896237414931,4.92925032602804,0.029138418127360562,0.1733072800462816,0.7688738195454456,0.05781890040827279
68081,BARRANCABERMEJA,2,21800.642819066317,5416.473251226862,6223.2961434666695,5071.553950805273,649.9499742638087,3205.1684651421033,5.668684028276557,7.191307562299194,0.005275699373404166,0.18512327459686187,0.7527417590978874,0.06213496630525075
68092,BETULIA,1,8928.470582920138,1416.0746354631399,3804.2005037441977,1140.060087872867,456.0240351491467,1068.0562928493175,3.2290299010626202,6.069001137060962,0.027826170279915796,0.20282753908595336,0.7350985117873999,0.06207394912664672
68101,BOLÍVAR,0,4480.800012848172,588.8745536598553,1680.9691804472234,465.7462378946128,208.78279629758507,915.4322606894115,3.2963034251336807,6.91881970256782,0.012869683378852633,0.18631397407621916,0.750968748634388,0.06271727728939276
68121,CABRERA,0,5060.6569708296465,487.77416586309846,1249.9213000241898,2042.5543195517248,121.94354146577462,914.5765609933097,4.165726467964337,4.1983187579458505,0.015249874677959954,0.18024875720386685,0.7625309477953598,0.05722029500077334
68132,CALIFORNIA,0,9575.284422647048,1134.3542521602774,3302.972675407867,2769.158909685383,33.36336035765522,1701.5313782404162,4.440785860974691,3.828933957008658,0.04443115483652722,0.20878986139187472,0.7371318180347554,0.05407832057336995
68147,CAPITANEJO,0,7755.056634162691,1011.0119845150747,3722.9029547437453,1106.166053645905,178.41387962030728,915.857915384244,4.9308230164254265,4.4576449225013945,0.011725520026481136,0.16751420398210765,0.7737880388317862,0.05869775718610626
68152,CARCASÍ,0,2607.8697019930237,73.2547669099164,1010.9157833568463,703.2457623351974,117.20762705586623,263.71716087569905,3.7088659893451306,5.5604745003115985,0.019309033825069034,0.19371903882738287,0.7425318772078545,0.0637490839647626
68160,CEPITÁ,0,2949.875168043019,221.24063760322645,1364.3172652198964,110.62031880161322,147.49375840215095,589.9750336086038,3.6041825453051195,4.691046083949504,0.009262079995620166,0.1962107146164399,0.7362869429763482,0.06750234240721194
68162,CERRITO,0,5661.696277645112,760.0331578939937,2544.4588329494572,936.2727307389777,264.35935926747607,385.52406559840256,3.3860937748786215,6.045198287152469,0.007124512498333102,0.19396796927938917,0.7419119693621686,0.06412006135844213
68167,CHARALÁ,0,8542.53058069886,1270.7896731618139,3859.4353036766197,1329.6225284007867,223.5648499080969,953.0922548713605,3.9760347984157023,6.040805394461688,0.011926588964452195,0.17880698507635046,0.7625787026324511,0.05861431229119835
68169,CHARTA,0,7582.668187001141,663.4834663625998,2322.1921322690996,1587.621151653364,260.65421892816425,2037.8420752565567,3.847038336964628,4.849732707713824,0.03156908193361572,0.16182815052584348,0.7847473225518963,0.053424526922260254
68176,CHIMA,0,6245.192619570556,682.0688185196511,1598.5987934054324,1747.801347456606,63.943951736217294,1278.879034724346,3.6377223005386505,5.160313255127374,0.017319114057582276,0.1652950862728564,0.776979713362969,0.0577252003641746
68179,CHIPATÁ,0,3308.0660788624523,373.4913314844704,1614.01611105789,573.575973351151,66.69488062222686,293.4574747377982,4.691040875299504,4.563689839661211,0.0421332844413448,0.15517557338175217,0.7859375221561427,0.05888690446210513
68190,CIMITARRA,1,11163.993184088373,1285.9998048337784,4761.986473212916,1654.8396976414178,610.8910724626528,1786.5682307870036,3.247631233803273,8.063153785547211,0.007245718125228997,0.2042940705246249,0.7213396956979671,0.07436623377740806
68207,CONCEPCIÓN,0,4373.28798650712,457.26067419243344,2274.578738290566,539.3331028936393,82.072428701206,562.7823682368412,3.533232874990662,5.823400619711827,0.002966303521202567,0.1743643581294241,0.7687167183873971,0.05691892348317884
68209,CONFINES,0,7633.1957092906105,931.4316192884374,2453.5271922719817,2271.784437288872,204.46059935599848,863.2780861697714,4.3481510696718555,4.282505984241348,0.014001346844376634,0.18817389418421915,0.7571475770622823,0.054678528753498525
68211,CONTRATACIÓN,0,7024.4261240001215,294.2168010052407,1985.963406785375,2280.180207790616,91.94275031413773,1489.4725550890312,4.020593456084729,4.928499839413349,0.01458022690399707,0.17608296313789545,0.7631121535208625,0.060804883341242046
